ID,Title,Content,Excerpt,Date,"Post Type",Permalink,URL,Title,Caption,Description,"Alt Text",Featured,URL,"Commission Category",first_name,last_name,customer_registration,commission_category,assign_location,agent_phone,assign_user,profile_picture,_profile_picture,id_verification_front,_id_verification_front,id_verification_back,_id_verification_back,commission_payout,_commission_payout,gender,_gender,date_of_birth,_date_of_birth,agent_type,_agent_type,kiosk_nickname,_kiosk_nickname,location_coordinates,_location_coordinates,has_smartphone,_has_smartphone,uses_whatsapp_daily,_uses_whatsapp_daily,has_been_in_assigned_location_for_at_least_1_year,_has_been_in_assigned_location_for_at_least_1_year,has_a_fixed_space,_has_a_fixed_space,backup_contact_first_name,_backup_contact_first_name,backup_contact_last_name,_backup_contact_last_name,backup_contact_mobile_number,_backup_contact_mobile_number,id_verification_-_front,_id_verification_-_front,id_verification_-_back,_id_verification_-_back,assigned_location,_assigned_location,_wp_old_slug,_wp_trash_meta_status,_wp_trash_meta_time,_wp_desired_post_slug,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
2738,"Justin Matara",,,"2021-12-14 12:08:44",agent,https://kapu.mystagingwebsite.com/agent/auto-draft/,,,,,,,,10%,Justin,Matara,yes,478,536,254718638033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft,,,0,0,0,closed,closed,"2021-12-14 12:08:44"
2739,"Ruth Wamboi",,,"2021-12-14 12:09:12",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-4/,,,,,,,,10%,Ruth,Wamboi,yes,478,536,254748276178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-4,,,0,0,0,closed,closed,"2021-12-14 12:09:12"
2740,"Polycarp [placeholder]",,,"2021-12-14 12:09:44",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-5/,,,,,,,,10%,Polycarp,[placeholder],yes,478,536,254708968558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-5,,,0,0,0,closed,closed,"2021-12-14 12:09:44"
2741,"David [placeholder]",,,"2021-12-14 12:10:29",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-6/,,,,,,,,10%,David,[placeholder],yes,478,536,254707255121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-6,,,0,0,0,closed,closed,"2021-12-14 12:10:29"
2742,"Simiyu [placeholder]",,,"2021-12-14 12:10:46",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-7/,,,,,,,,10%,Simiyu,[placeholder],yes,478,536,254780766873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-7,,,0,0,0,closed,closed,"2021-12-14 12:10:46"
2743,"Francis Wanjala",,,"2021-12-14 12:11:08",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-8/,,,,,,,,10%,Francis,Wanjala,yes,478,536,254720458176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-8,,,0,0,0,closed,closed,"2021-12-14 12:11:08"
2744,"Felista Mukasia",,,"2021-12-14 12:11:27",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-9/,,,,,,,,10%,Felista,Mukasia,yes,478,536,254726786835,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-9,,,0,0,0,closed,closed,"2022-01-26 08:34:50"
2745,"Nick [placeholder]",,,"2021-12-14 12:11:47",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-10/,,,,,,,,10%,Nick,[placeholder],yes,478,536,254727108421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-10,,,0,0,0,closed,closed,"2021-12-14 12:11:47"
2746,"Esther [placeholder]",,,"2021-12-14 12:12:23",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-11/,,,,,,,,10%,Esther,[placeholder],yes,478,536,254723078976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-11,,,0,0,0,closed,closed,"2021-12-14 12:12:23"
2747,"Daniel [placeholder]",,,"2021-12-14 12:12:38",agent,https://kapu.mystagingwebsite.com/agent/auto-draft-12/,,,,,,,,10%,Daniel,[placeholder],yes,478,536,254701043376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publish,58,MateusKratz,mateus@kapuafrica.com,Mateus,Kratz,auto-draft-12,,,0,0,0,closed,closed,"2021-12-14 12:13:00"
